Actual ,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NDTI
2.01,20,16,282,465,197,107,0,0,0,0,-0.404833837
3.47,555,517,1099,1355,898,786,561,536,555,500,-0.202840657
3.22,549,488,933,1119,832,764,617,626,619,599,-0.147104049
2.57,1064,927,1267,1433,1253,1288,1117,1115,1105,1106,-0.067014147
2.51,624,602,742,966,720,707,575,560,488,566,-0.145907473
6.67,793,722,965,1107,969,1036,856,883,775,847,-0.066473988
26.3,809,751,929,1068,923,952,777,765,703,755,-0.072827725
1.77,18,14,40,179,107,133,0,0,0,0,-0.251748252
1.62,42,42,85,140,78,54,0,6,0,0,-0.28440367
2.23,6,17,35,152,93,92,0,0,0,0,-0.240816327
1.36,6,6,94,190,110,75,0,0,0,0,-0.266666667
3.09,22,17,102,213,118,91,12,15,11,25,-0.287009063
1.01,17,21,73,281,181,155,0,2,0,5,-0.216450216
1.23,19,16,92,205,126,79,0,0,0,0,-0.238670695
1.83,5,11,84,288,178,153,0,0,0,0,-0.236051502
2.31,69,59,193,435,224,207,62,69,54,46,-0.320182094
2.05,53,41,223,426,238,200,46,40,43,36,-0.28313253
1.17,1864,2176,680,1081,1339,1621,1719,1994,752,2196,0.10661157
2.21,60,59,508,666,301,231,90,84,73,59,-0.37745605
2.07,100,87,379,576,331,263,125,124,118,117,-0.270121279
69.89,226,184,518,649,429,381,235,242,251,224,-0.204081633
1.32,135,114,297,431,232,198,92,96,76,97,-0.30015083
1.47,230,203,471,614,393,359,270,243,264,244,-0.219463754
2.65,250,217,539,659,448,403,293,294,321,293,-0.190605239
3.61,101,77,326,434,234,229,101,123,112,101,-0.299401198
1.61,778,693,1074,1162,943,957,803,813,816,776,-0.104038005
2.9,74,73,321,485,208,152,59,65,69,62,-0.3997114
1.86,327,299,394,405,326,335,295,322,257,329,-0.108071135
1.09,517,451,653,789,639,674,583,544,534,548,-0.105042017
1.67,72,16,353,439,231,226,120,143,106,116,-0.310447761
1.33,711,652,609,731,728,784,628,680,579,683,-0.002056203
4.21,884,818,872,1033,960,1002,879,919,806,892,-0.036628199
1.54,1011,914,1107,1229,1144,1229,1054,1069,959,1063,-0.035819638
2.76,3743,3406,4529,4288,4199,4443,4253,4336,4010,4188,-0.010486627
22.97,186,169,429,622,441,453,240,232,225,200,-0.170272813
4.34,22,23,157,302,132,109,0,2,0,0,-0.391705069
5.18,174,156,330,456,339,324,190,196,176,174,-0.147169811
6.44,64,47,177,173,154,172,86,87,82,92,-0.058103976
4.08,14,10,74,192,131,170,0,0,0,0,-0.188854489
3.31,295,277,340,406,354,391,297,347,317,341,-0.068421053
77.84,15,13,30,91,50,29,0,0,0,0,-0.290780142
2.14,25,9,215,332,258,246,25,40,22,9,-0.125423729
1.45,49,56,106,254,138,101,0,0,0,0,-0.295918367
2.56,21,23,186,308,275,220,23,23,25,0,-0.056603774
5.81,31,28,211,354,282,218,20,33,26,10,-0.113207547
2.33,52,47,391,664,351,250,46,46,40,49,-0.308374384
1.93,7,11,82,244,194,142,3,4,0,0,-0.114155251
2.07,42,38,161,314,269,210,20,28,38,11,-0.077186964
8.11,393,352,1195,1425,943,805,477,474,492,441,-0.203547297
3.2,494,452,781,1011,737,688,493,494,476,479,-0.156750572
2.33,584,508,890,1125,859,794,621,622,643,602,-0.134072581
1.76,1047,973,1273,1488,1229,1242,1076,1080,1043,1060,-0.095325727
1.8,965,883,1216,1443,1125,1182,1028,1013,924,991,-0.123831776
2.07,876,775,1190,1396,1103,1102,936,909,882,876,-0.117246899
3.21,274,261,310,440,377,390,254,266,216,266,-0.077111383
3.36,384,319,496,729,546,529,391,398,360,388,-0.143529412
2.09,216,208,330,533,388,393,145,145,158,156,-0.157437568
2.17,2917,2501,3924,3557,3240,3502,3297,3195,3459,3141,-0.046638223
3.67,574,529,654,726,752,788,544,536,505,531,0.01759134
5.45,399,357,650,687,657,714,468,455,458,427,-0.022321429
3.62,251,224,374,621,487,481,231,256,213,222,-0.120938628
4.82,39,35,105,127,158,170,20,39,14,25,0.10877193
2.1,46,45,136,213,229,228,37,66,51,44,0.036199095
4.48,97,80,530,453,306,255,126,118,391,89,-0.193675889
4.16,45,36,159,286,224,224,38,24,25,24,-0.121568627
4.22,40,34,188,335,183,149,0,8,0,0,-0.293436293
3.97,37,39,267,456,298,255,52,53,41,25,-0.209549072
1.63,18,12,16,217,131,86,0,0,0,0,-0.247126437
2.7,70,47,246,447,374,377,69,86,71,27,-0.088915956
1.3,32,38,8,224,191,141,0,0,0,9,-0.079518072
5.61,42,57,159,230,232,199,39,50,46,24,0.004329004
1.4,26,14,183,314,217,160,2,15,0,0,-0.1826742
1.45,8,0,225,462,283,198,0,0,0,0,-0.240268456
1.54,36,18,131,420,203,128,0,0,1,0,-0.348314607
2.45,29,18,66,324,170,105,0,0,0,0,-0.311740891
1.37,20,15,125,331,163,124,0,0,0,0,-0.340080972
77.37,47,33,153,381,232,126,0,0,13,5,-0.243066884
3.66,258,207,703,981,634,515,275,276,273,240,-0.214860681
9.49,286,249,912,1058,615,520,328,340,326,312,-0.264793784
5.32,285,213,1136,1202,690,557,327,311,377,261,-0.270613108
2.97,485,435,978,1170,786,693,529,519,519,488,-0.196319018
2.8,528,437,809,1081,751,678,552,543,530,528,-0.180131004
1.61,1061,944,885,1009,928,1037,1037,1053,878,1091,-0.041817243
2.26,74,58,470,694,296,197,55,60,60,64,-0.402020202
1.43,895,812,1236,1498,1156,1117,971,960,887,954,-0.128862095
1.66,3775,3797,4858,4500,4152,4361,4308,4236,4210,4128,-0.040221914
2.53,751,709,990,1248,890,890,741,737,639,747,-0.167446211
2.4,886,802,1107,1343,1079,1069,919,912,841,917,-0.109000826
2.53,476,448,675,837,627,621,523,502,440,515,-0.143442623
1.1,258,217,135,347,240,207,149,176,161,179,-0.182282794
1.5,104,78,207,395,237,232,125,120,69,117,-0.25
1.64,151,127,276,377,240,285,122,143,130,136,-0.222042139
2.15,45,34,123,200,150,156,29,22,21,24,-0.142857143
1.6,565,510,605,659,608,643,525,504,472,482,-0.040252565
1.05,389,341,520,552,487,549,430,415,396,388,-0.062560154
2.91,25,29,69,39,65,68,0,0,0,0,0.25
3.46,21,12,36,74,91,101,0,0,0,0,0.103030303
3.88,2,9,0,75,53,115,0,0,0,0,-0.171875
4.96,1365,1338,1463,1400,1357,1496,1441,1435,1495,1399,-0.015596663
4.71,71,60,257,299,234,241,112,122,81,85,-0.12195122
2.08,79,63,131,226,204,191,71,65,66,57,-0.051162791
3.03,44,51,52,112,106,104,3,28,19,22,-0.027522936
5,60,46,94,232,169,166,26,21,27,31,-0.157107232
1.12,12,14,102,146,100,94,0,0,0,0,-0.18699187
2.91,46,35,95,226,128,84,12,15,5,13,-0.276836158
2.96,9,6,148,346,214,183,0,0,0,0,-0.235714286
2.93,22,19,129,316,174,116,0,0,0,0,-0.289795918
2.77,20,10,211,381,198,127,0,0,0,0,-0.316062176
3.91,9,5,177,471,249,173,0,0,0,0,-0.308333333
3.46,14,7,202,464,270,220,0,0,0,0,-0.264305177
2.52,34,19,160,395,189,120,0,0,0,0,-0.352739726
24.18,37,34,228,465,245,175,6,7,5,6,-0.309859155
24.18,34,34,217,465,244,177,0,0,0,0,-0.311706629
3.01,81,65,230,520,296,228,17,36,31,40,-0.274509804
1.29,5,0,188,313,157,106,0,0,0,0,-0.331914894
2.92,294,468,246,494,279,315,244,280,316,348,-0.278137128
3.07,7,11,325,586,290,229,0,8,0,0,-0.337899543
4.18,18,21,373,599,282,197,0,7,0,0,-0.359818388
25.3,22,17,619,832,483,364,43,43,38,9,-0.26539924
9.43,30,26,661,932,411,297,12,25,8,3,-0.387937453
3.63,115,106,713,917,451,341,107,121,109,83,-0.340643275
3.41,34,39,591,808,308,166,0,0,0,0,-0.448028674
4.29,69,53,573,787,402,277,111,102,93,79,-0.323801514
3.49,101,78,530,711,345,271,111,112,103,103,-0.346590909
1.91,1537,1357,1447,1490,1242,1322,1237,1263,1549,1261,-0.090775988
2.63,238,203,640,820,440,358,239,241,230,235,-0.301587302
3.06,242,198,704,868,487,427,262,276,254,255,-0.281180812
2.36,330,273,565,792,507,424,306,300,322,310,-0.219399538
7.2,28,19,392,552,168,88,0,0,0,0,-0.533333333
